case_id,propulsion_case,changed_parameter,changed_value,raw_all_segment_min_thrust_margin_N,approach_only_corrected_margin_N,corrected_all_segment_min_thrust_margin_N,raw_low_thrust_margin,approach_only_corrected_low_thrust_margin,corrected_all_segment_low_thrust_margin,approach_only_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load_Wh,conclusion_status_approach_corrected,conclusion_status_all_segment_corrected
V05-0081_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-106986.3324935339,23233.726580638417,-40015.70454643761,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
V05-0082_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-106986.3324935339,23233.726580638417,-40015.70454643761,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
V05-0083_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=0,-106986.3324935339,23233.726580638417,-40015.70454643761,True,False,True,True,True,0.0,rejected_above_mtow_upper,rejected_all_segment_low_thrust_margin
V05-0084_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-170130.57508110476,-38299.25575976024,-39155.22271348979,True,True,True,False,True,149610.959531181,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0085_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-172835.40401418894,-39258.846258240024,-39527.35436352727,True,True,True,False,True,149610.959531181,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0086_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-166596.2921431999,-32544.36499930441,-39160.06561922059,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0087_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-169301.08126993527,-33504.02749777648,-39532.19160679098,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0088_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-172300.48007208025,-33108.342473036304,-40260.069826003055,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0089_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-175028.7526433994,-34095.067763240106,-40635.38624573484,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0090_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=130000;total_electric_power_W=4e+06,-174628.17198294585,-35412.865551805604,-40265.05437734272,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
